filepath,label,num_steps,final_dE
vasp-data-files/111001010110111000010000/OSZICAR,1,102,-0.0477222
vasp-data-files/111001010111111000010000/OSZICAR,0,200,-0.00912419
vasp-data-files/111001101101000111001011/OSZICAR,1,166,-0.0110596
vasp-data-files/111001111010110001111011/OSZICAR,0,200,-0.0183047
vasp-data-files/111001111011000001110101/OSZICAR,1,127,0.0249652
vasp-data-files/111001111011111010000110/OSZICAR,0,200,-0.0264337
vasp-data-files/111001111111011110011110/OSZICAR,0,200,0.0109378
vasp-data-files/111010000101010010101110/OSZICAR,1,120,0.0251589
vasp-data-files/111010001000000111111000/OSZICAR,0,200,0.0220683
vasp-data-files/111010001100011101110110/OSZICAR,1,143,0.022183
vasp-data-files/111010001100100111110110/OSZICAR,1,153,0.0251581
vasp-data-files/111010001101110010100110/OSZICAR,0,200,0.00264865
vasp-data-files/111010010000111010100100/OSZICAR,0,200,0.0461513
vasp-data-files/111010010100011100100010/OSZICAR,1,130,0.0263894
vasp-data-files/111010011011110010101000/OSZICAR,0,200,0.025093
vasp-data-files/111010101001110101110100/OSZICAR,1,104,0.0244354
vasp-data-files/111010101111100011110111/OSZICAR,1,119,0.0254812
vasp-data-files/111010110000111110010000/OSZICAR,0,200,-0.0189417
vasp-data-files/111010110010100111010001/OSZICAR,1,111,0.0241487
vasp-data-files/111011010100100010111110/OSZICAR,1,105,0.0255237
vasp-data-files/111011100111011111010111/OSZICAR,1,126,0.026367
vasp-data-files/111011110001110110010000/OSZICAR,0,200,-0.0188318
vasp-data-files/111011110001111110010000/OSZICAR,0,200,0.0246796
vasp-data-files/111011110010110010101010/OSZICAR,0,200,0.0858506
vasp-data-files/111100000001011100110001/OSZICAR,0,200,0.00796548
vasp-data-files/111100000001111110100000/OSZICAR,1,144,0.02452
vasp-data-files/111100000100110100100000/OSZICAR,1,124,0.0116073
vasp-data-files/111100000100110110100000/OSZICAR,1,126,0.0254182
vasp-data-files/111100000101010100100001/OSZICAR,1,151,-0.00171968
vasp-data-files/111100000101010110100001/OSZICAR,1,144,0.0266639
vasp-data-files/111100000101110000100000/OSZICAR,1,102,0.0258945
vasp-data-files/111100000101111100100000/OSZICAR,1,138,0.0293651
vasp-data-files/111100000101111100101000/OSZICAR,0,200,0.0264143
vasp-data-files/111100000101111101100000/OSZICAR,1,156,0.0257767
vasp-data-files/111100000111000001010110/OSZICAR,1,164,0.0254627
vasp-data-files/111100001100111100100000/OSZICAR,0,200,-0.0134906
vasp-data-files/111100001100111110100000/OSZICAR,0,200,0.0550544
vasp-data-files/111100001101001111000001/OSZICAR,0,200,-0.0675879
vasp-data-files/111100001101110010101000/OSZICAR,1,124,0.018276
