filepath,label,num_steps,final_dE
vasp-data-files/101001010100111010001000/OSZICAR,1,116,0.0258478
vasp-data-files/101001010100111010100000/OSZICAR,1,122,0.0256022
vasp-data-files/101001010100111110100000/OSZICAR,1,152,0.0252659
vasp-data-files/101001010101000011001101/OSZICAR,1,154,0.0124206
vasp-data-files/101001010101011110100000/OSZICAR,1,131,0.0263889
vasp-data-files/101001010101101101010011/OSZICAR,1,115,0.0257771
vasp-data-files/101001010101110011100111/OSZICAR,0,200,0.0226703
vasp-data-files/101001010101111010100100/OSZICAR,1,138,0.0247299
vasp-data-files/101001010101111110100101/OSZICAR,0,200,0.0251361
vasp-data-files/101001010111000011111111/OSZICAR,1,152,0.0258146
vasp-data-files/101001011100111010100010/OSZICAR,0,200,0.0286101
vasp-data-files/101001011100111100100000/OSZICAR,1,127,0.0261147
vasp-data-files/101001011100111101100000/OSZICAR,0,200,-0.0352688
vasp-data-files/101001011101100011010111/OSZICAR,1,104,0.0270902
vasp-data-files/101001011101111010110110/OSZICAR,0,200,0.01981
vasp-data-files/101001100101000010111111/OSZICAR,1,142,0.00219408
vasp-data-files/101001101101011010111100/OSZICAR,1,102,0.0263411
vasp-data-files/101001110001111010000110/OSZICAR,0,200,0.052294
vasp-data-files/101001110001111010100101/OSZICAR,0,200,-0.0348307
vasp-data-files/101001110010000111111111/OSZICAR,1,114,0.0252282
vasp-data-files/101001110011110001100110/OSZICAR,1,180,-0.036654
vasp-data-files/101001110100110011000011/OSZICAR,0,200,-0.013255
vasp-data-files/101001110101111010010110/OSZICAR,1,115,0.0188001
vasp-data-files/101001110111111111000001/OSZICAR,0,200,0.0248247
vasp-data-files/101001111011100001100001/OSZICAR,0,200,-0.0254786
vasp-data-files/101001111100100011011111/OSZICAR,1,111,0.0236923
vasp-data-files/101001111100101011011111/OSZICAR,1,132,0.0324613
vasp-data-files/101001111110111111000001/OSZICAR,0,200,-0.013448
vasp-data-files/101010000111110111100101/OSZICAR,0,200,0.0193344
vasp-data-files/101010001100011000000111/OSZICAR,1,105,0.0288062
vasp-data-files/101010010100111010000100/OSZICAR,0,200,0.0208184
vasp-data-files/101010010100111110100100/OSZICAR,1,175,-0.00429274
vasp-data-files/101010010101111010100100/OSZICAR,1,135,0.0259129
vasp-data-files/101010010101111010100110/OSZICAR,1,171,0.0269978
vasp-data-files/101010100000111110110001/OSZICAR,1,125,0.0259997
vasp-data-files/101010101001110001011110/OSZICAR,1,122,0.0265657
vasp-data-files/101010110001111110100100/OSZICAR,1,111,0.0237559
vasp-data-files/101011000101010010111110/OSZICAR,0,200,0.0184376
vasp-data-files/101011001110010111111001/OSZICAR,0,200,0.0596749
vasp-data-files/101011010001111010100000/OSZICAR,1,175,0.0253994
vasp-data-files/101011010010111110100000/OSZICAR,1,184,0.0234143
vasp-data-files/101011010100110010100100/OSZICAR,0,200,0.0265951
vasp-data-files/101011010101000010111110/OSZICAR,0,200,0.0147355
