filepath,label,num_steps,final_dE
vasp-data-files/100000001110110011111111/OSZICAR,1,103,0.0182497
vasp-data-files/100000010110101000100111/OSZICAR,0,200,-0.00641223
vasp-data-files/100000010111101001010111/OSZICAR,0,200,0.0512798
vasp-data-files/100000011111111011000100/OSZICAR,0,200,0.0186057
vasp-data-files/100000110100101101010001/OSZICAR,1,121,0.0218737
vasp-data-files/100000110100111111010001/OSZICAR,1,184,0.0257747
vasp-data-files/100000111001001001011111/OSZICAR,1,137,0.025504
vasp-data-files/100000111100111001000001/OSZICAR,1,101,0.0263172
vasp-data-files/100000111101000011011111/OSZICAR,1,149,0.0281196
vasp-data-files/100001000101111011011110/OSZICAR,1,100,0.026011
vasp-data-files/100001010000011010111110/OSZICAR,1,113,0.0258298
vasp-data-files/100001010100111010100000/OSZICAR,1,146,0.0458914
vasp-data-files/100001010110001011010101/OSZICAR,1,105,0.0250728
vasp-data-files/100001010110011010010010/OSZICAR,1,165,0.0279148
vasp-data-files/100001010111011100010001/OSZICAR,0,200,0.0264337
vasp-data-files/100001010111110011101110/OSZICAR,0,200,0.0234161
vasp-data-files/100001011101111010001100/OSZICAR,0,200,-0.0162217
vasp-data-files/100001011111111001010111/OSZICAR,0,200,-0.00802238
vasp-data-files/100001110001101111000111/OSZICAR,0,200,-0.0399441
vasp-data-files/100001110100101101010001/OSZICAR,1,196,0.0396276
vasp-data-files/100001110101000011011111/OSZICAR,0,200,0.0552223
vasp-data-files/100001110101100011010111/OSZICAR,0,200,-0.000181967
vasp-data-files/100001110110111111011001/OSZICAR,0,200,-0.0254213
vasp-data-files/100001111000111101011001/OSZICAR,1,165,0.026406
vasp-data-files/100001111010000001010101/OSZICAR,0,200,-0.00598729
vasp-data-files/100001111011000011011111/OSZICAR,1,126,0.0249419
vasp-data-files/100001111100010010011110/OSZICAR,1,148,0.0255923
vasp-data-files/100001111100010010111110/OSZICAR,1,194,0.0251711
vasp-data-files/100001111100111101010011/OSZICAR,0,200,0.023966
vasp-data-files/100001111101001001011111/OSZICAR,0,200,0.0217965
vasp-data-files/100001111101001011011111/OSZICAR,1,102,0.0249613
vasp-data-files/100001111101001111010011/OSZICAR,1,114,0.0258125
vasp-data-files/100010001001111100101000/OSZICAR,1,141,0.0251588
vasp-data-files/100010001001111100101001/OSZICAR,1,176,0.0253448
vasp-data-files/100010001011000001111111/OSZICAR,1,110,0.0251208
vasp-data-files/100010001111111111111010/OSZICAR,0,200,-0.0424745
vasp-data-files/100010010011000001111110/OSZICAR,1,126,0.0111057
vasp-data-files/100010010100111100100000/OSZICAR,0,200,-0.0212283
vasp-data-files/100010010101100100100000/OSZICAR,0,200,0.00789074
vasp-data-files/100010010110001011010101/OSZICAR,0,200,0.0266851
vasp-data-files/100010101011000001011111/OSZICAR,0,200,0.0212144
vasp-data-files/100010110010001110111111/OSZICAR,1,170,0.0264231
vasp-data-files/100010110010001111111101/OSZICAR,1,109,0.0202177
vasp-data-files/100010110100110000110000/OSZICAR,0,200,0.0217105
vasp-data-files/100010111000111100100000/OSZICAR,1,112,0.0195119
vasp-data-files/100010111000111100100101/OSZICAR,1,145,-0.0070534
vasp-data-files/100010111010001101011111/OSZICAR,1,145,0.0969292
vasp-data-files/100010111011110101000001/OSZICAR,0,200,-0.0101575
vasp-data-files/100011010011000001101110/OSZICAR,0,200,0.0253558
vasp-data-files/100011010111111010000110/OSZICAR,1,195,0.0258085
vasp-data-files/100011011011100110111001/OSZICAR,0,200,-0.0121772
vasp-data-files/100011011101001010011111/OSZICAR,1,186,0.0266127
vasp-data-files/100011011111000010111111/OSZICAR,0,200,0.0203233
vasp-data-files/100011011111001001011111/OSZICAR,1,131,0.0259061
vasp-data-files/100011110001111111100100/OSZICAR,0,200,0.0545647
vasp-data-files/100011110011111010000110/OSZICAR,1,141,0.0244073
vasp-data-files/100011110011111010100110/OSZICAR,1,144,0.0246531
vasp-data-files/100011110111011010011111/OSZICAR,1,116,0.0264526
vasp-data-files/100011111010101011011111/OSZICAR,0,200,0.0533081
vasp-data-files/100011111100011010011110/OSZICAR,1,109,0.00298116
vasp-data-files/100011111110010010011110/OSZICAR,1,170,0.026534
vasp-data-files/100100001001101001001001/OSZICAR,0,200,0.00978295
vasp-data-files/100100001110000101111111/OSZICAR,0,200,0.0171087
vasp-data-files/100100001111000001011111/OSZICAR,0,200,0.0254707
vasp-data-files/100100001111001001011101/OSZICAR,1,111,0.026324
vasp-data-files/100100010101110010111100/OSZICAR,0,200,0.0243998
vasp-data-files/100100010110111000000110/OSZICAR,1,103,0.0264164
vasp-data-files/100100010110111001001000/OSZICAR,1,130,0.0311051
vasp-data-files/100100010111111000000110/OSZICAR,0,200,0.0244542
vasp-data-files/100100100110110101111001/OSZICAR,0,200,0.0187223
vasp-data-files/100100110010001101011001/OSZICAR,0,200,0.0227449
vasp-data-files/100100110101100001011111/OSZICAR,1,131,0.0358992
vasp-data-files/100100111111011001010111/OSZICAR,0,200,-0.0545236
vasp-data-files/100101000001000011011111/OSZICAR,1,115,0.0258501
vasp-data-files/100101000011000010011111/OSZICAR,1,152,0.0049482
vasp-data-files/100101001000001110011001/OSZICAR,1,157,0.0275258
vasp-data-files/100101001100010000001100/OSZICAR,1,165,0.026616
vasp-data-files/100101011101111011000011/OSZICAR,0,200,0.026054
vasp-data-files/100101011111111001001100/OSZICAR,0,200,0.0255062
vasp-data-files/100101100000111110110101/OSZICAR,1,192,0.0292021
vasp-data-files/100101100101010001010011/OSZICAR,1,131,0.0257218
vasp-data-files/100101101101101011001111/OSZICAR,0,200,-0.0283119
vasp-data-files/100110001000010110100000/OSZICAR,1,129,0.027219
vasp-data-files/100110001111000001111111/OSZICAR,1,103,0.0253228
vasp-data-files/100110010100110000011100/OSZICAR,1,131,0.0254329
vasp-data-files/100110010100110010111100/OSZICAR,0,200,-0.000940204
vasp-data-files/100110010111000000110001/OSZICAR,0,200,0.060742
vasp-data-files/100110010111000001110001/OSZICAR,1,107,0.0260091
vasp-data-files/100110011100000111011100/OSZICAR,0,200,-0.0293083
vasp-data-files/100110100000001100111101/OSZICAR,0,200,0.0255745
vasp-data-files/100110100011001101111000/OSZICAR,1,156,0.0243821
vasp-data-files/100110100101011100100000/OSZICAR,1,116,0.0256659
vasp-data-files/100110101010000101011001/OSZICAR,1,123,0.0230464
vasp-data-files/100110101011000001111111/OSZICAR,1,167,0.0290136
vasp-data-files/100110101011000101111111/OSZICAR,1,142,0.0143524
vasp-data-files/100110111101011101000100/OSZICAR,0,200,0.0259644
vasp-data-files/100111000001000011111011/OSZICAR,0,200,-0.0212802
vasp-data-files/100111001011101101101000/OSZICAR,0,200,0.0757822
vasp-data-files/100111001111010100101000/OSZICAR,0,200,0.0316303
vasp-data-files/100111100010000011111111/OSZICAR,0,200,-0.0403255
vasp-data-files/100111100010001100011001/OSZICAR,1,130,0.0230417
vasp-data-files/100111111001010011101101/OSZICAR,0,200,0.0235818
vasp-data-files/100111111100111011000111/OSZICAR,1,111,0.00375799
vasp-data-files/101000001110001111010111/OSZICAR,1,125,0.0188657
vasp-data-files/101000010001100011101011/OSZICAR,1,102,0.027156
vasp-data-files/101000010100011110000010/OSZICAR,1,139,0.025424
vasp-data-files/101000010101000011010111/OSZICAR,0,200,0.0500533
vasp-data-files/101000010101111010100100/OSZICAR,0,200,0.0521622
vasp-data-files/101000010110110001010100/OSZICAR,0,200,-0.0395962
vasp-data-files/101000010111100101110111/OSZICAR,0,200,0.0217937
vasp-data-files/101000111000110101100100/OSZICAR,1,102,0.014578
vasp-data-files/101000111001111010100100/OSZICAR,1,157,0.0182936
vasp-data-files/101001001100111011000101/OSZICAR,1,117,0.029373
vasp-data-files/101001001111010011011111/OSZICAR,1,192,0.022608
vasp-data-files/101001001111110111100101/OSZICAR,1,101,-0.0199541
vasp-data-files/101001010000111010100110/OSZICAR,1,101,0.0220668
vasp-data-files/101001010001000010111110/OSZICAR,1,161,0.0246446
vasp-data-files/101001010001001101100100/OSZICAR,1,172,0.0160879
