filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_level,actual_steps,enough_steps
vasp-data-files/100000001110110011111111/OSZICAR,1,100,0,,,True,,4.069035768508911,Confident,100,True
vasp-data-files/100000010110101000100111/OSZICAR,0,100,0,,,True,,4.0642313957214355,Confident,100,True
vasp-data-files/100000010111101001010111/OSZICAR,0,100,0,,,True,,3.043344020843506,Confident,100,True
vasp-data-files/100000011111111011000100/OSZICAR,0,100,0,,,True,,3.2343978881835938,Confident,100,True
vasp-data-files/100000110100101101010001/OSZICAR,1,100,0,,,True,,3.793794631958008,Confident,100,True
vasp-data-files/100000110100111111010001/OSZICAR,1,100,0,,,True,,2.5922672748565674,Confident,100,True
vasp-data-files/100000111001001001011111/OSZICAR,1,100,0,,,True,,3.2645931243896484,Confident,100,True
vasp-data-files/100000111100111001000001/OSZICAR,1,100,1,,,True,,4.306915521621704,Confident,100,True
vasp-data-files/100000111101000011011111/OSZICAR,1,100,0,,,True,,3.128439426422119,Confident,100,True
vasp-data-files/100001000101111011011110/OSZICAR,1,100,0,,,True,,3.549466609954834,Confident,100,True
vasp-data-files/100001010000011010111110/OSZICAR,1,100,0,,,True,,3.0870773792266846,Confident,100,True
vasp-data-files/100001010100111010100000/OSZICAR,1,100,0,,,True,,2.830092430114746,Confident,100,True
vasp-data-files/100001010110001011010101/OSZICAR,1,100,0,,,True,,3.3305423259735107,Confident,100,True
vasp-data-files/100001010110011010010010/OSZICAR,1,100,0,,,True,,3.0183966159820557,Confident,100,True
vasp-data-files/100001010111011100010001/OSZICAR,0,100,0,,,True,,3.8739261627197266,Confident,100,True
vasp-data-files/100001010111110011101110/OSZICAR,0,100,0,,,True,,2.9552316665649414,Confident,100,True
vasp-data-files/100001011101111010001100/OSZICAR,0,100,0,,,True,,3.2688539028167725,Confident,100,True
vasp-data-files/100001011111111001010111/OSZICAR,0,100,0,,,True,,5.058171510696411,Confident,100,True
vasp-data-files/100001110001101111000111/OSZICAR,0,100,0,,,True,,3.8017735481262207,Confident,100,True
vasp-data-files/100001110100101101010001/OSZICAR,1,100,0,,,True,,4.584730625152588,Confident,100,True
vasp-data-files/100001110101000011011111/OSZICAR,0,100,0,,,True,,2.6623685359954834,Confident,100,True
vasp-data-files/100001110101100011010111/OSZICAR,0,100,0,,,True,,3.6731557846069336,Confident,100,True
vasp-data-files/100001110110111111011001/OSZICAR,0,100,0,,,True,,3.967301368713379,Confident,100,True
vasp-data-files/100001111000111101011001/OSZICAR,1,100,0,,,True,,2.6735949516296387,Confident,100,True
vasp-data-files/100001111010000001010101/OSZICAR,0,100,0,,,True,,3.5951781272888184,Confident,100,True
vasp-data-files/100001111011000011011111/OSZICAR,1,100,0,,,True,,3.901431083679199,Confident,100,True
vasp-data-files/100001111100010010011110/OSZICAR,1,100,0,,,True,,3.4947421550750732,Confident,100,True
vasp-data-files/100001111100010010111110/OSZICAR,1,100,0,,,True,,3.8972461223602295,Confident,100,True
vasp-data-files/100001111100111101010011/OSZICAR,0,100,0,,,True,,4.344844341278076,Confident,100,True
vasp-data-files/100001111101001001011111/OSZICAR,0,100,0,,,True,,3.356290578842163,Confident,100,True
vasp-data-files/100001111101001011011111/OSZICAR,1,100,0,,,True,,3.2876265048980713,Confident,100,True
vasp-data-files/100001111101001111010011/OSZICAR,1,100,0,,,True,,3.2891759872436523,Confident,100,True
vasp-data-files/100010001001111100101000/OSZICAR,1,100,1,,,True,,2.6713712215423584,Confident,100,True
vasp-data-files/100010001001111100101001/OSZICAR,1,100,0,,,True,,2.960927963256836,Confident,100,True
vasp-data-files/100010001011000001111111/OSZICAR,1,100,1,,,True,,3.4561142921447754,Confident,100,True
vasp-data-files/100010001111111111111010/OSZICAR,0,100,0,,,True,,5.919996023178101,Confident,100,True
vasp-data-files/100010010011000001111110/OSZICAR,1,100,0,,,True,,3.9790003299713135,Confident,100,True
vasp-data-files/100010010100111100100000/OSZICAR,0,100,0,,,True,,2.8893566131591797,Confident,100,True
vasp-data-files/100010010101100100100000/OSZICAR,0,100,0,,,True,,4.30065131187439,Confident,100,True
vasp-data-files/100010010110001011010101/OSZICAR,0,100,0,,,True,,3.0665268898010254,Confident,100,True
vasp-data-files/100010101011000001011111/OSZICAR,0,100,0,,,True,,5.045580863952637,Confident,100,True
vasp-data-files/100010110010001110111111/OSZICAR,1,100,0,,,True,,3.798089027404785,Confident,100,True
vasp-data-files/100010110010001111111101/OSZICAR,1,100,0,,,True,,3.599069595336914,Confident,100,True
vasp-data-files/100010110100110000110000/OSZICAR,0,100,0,,,True,,3.0763933658599854,Confident,100,True
vasp-data-files/100010111000111100100000/OSZICAR,1,100,0,,,True,,3.213228702545166,Confident,100,True
vasp-data-files/100010111000111100100101/OSZICAR,1,100,0,,,True,,7.120826721191406,Confident,100,True
vasp-data-files/100010111010001101011111/OSZICAR,1,100,0,,,True,,4.00779390335083,Confident,100,True
vasp-data-files/100010111011110101000001/OSZICAR,0,100,0,,,True,,2.4992549419403076,Confident,100,True
vasp-data-files/100011010011000001101110/OSZICAR,0,100,0,,,True,,3.5984480381011963,Confident,100,True
vasp-data-files/100011010111111010000110/OSZICAR,1,100,0,,,True,,3.11724853515625,Confident,100,True
